id,ra,dec,otype
WISE J182053.55+521825.2,275.2231485487408,52.30697485280222,G
WiggleZ R01J005859590+00102969,14.7483279,0.17488500000000004,G
[RTG2015] 3623,53.128679,-27.798197000000002,G
COSMOS2015 262394,150.667375,1.6821388888888886,G
LEDA 1714698,174.716672,24.72466,G
COSMOS2015 1054548,149.86829166666664,2.901388888888889,G
WINGS J010951.55-152938.7,17.4648,-15.49408,G
WiggleZ S15J150313170+05584312,225.80487319999997,5.978644,G
WISE J044801.05-244721.7,72.00440341928375,-24.78939474731028,G
LEDA 1543783,271.61041666666665,17.861666666666668,G
GOODS J123802.24+621720.1,189.50934291666667,62.28901083333333,G
WiggleZ R01J010007335+00542459,15.030600899999996,0.906802,G
SDSS J152503.59+453507.1,231.26497491215497,45.585297675102495,G
VIPERS 111190238,31.702578,-4.713313,G
WiggleZ S15J150234416+03534582,225.6434009,3.8960599999999985,G
WiggleZ S15J150337730+04570719,225.90720929999998,4.951995999999999,G
COSMOS2015 249176,150.67920833333332,1.6611388888888887,G
WISE J004009.83-244457.6,10.04103759102125,-24.74937330488889,G
LCRS B232058.5-382638,350.92058333333335,-38.16933333333333,G
COSMOS2015 1037758,149.823875,2.877388888888889,G
SDSS J142616.52+381450.9,216.56887434663415,38.247487649208615,G
SDSSCGB 36763.1,240.67423333333335,10.551297222222223,G
SDSS J113232.60+240830.4,173.13586666666666,24.141791666666666,G
2dFGRS TGS362Z205,5.604583333333332,-30.996111111111112,G
WiggleZ R01J005904825-02514698,14.7701425,-2.863078,G
SDSS J151729.63+055248.7,229.373476,5.880211,G
SDSS J165304.08+220015.1,253.26700459124996,22.004206578380003,G
WiggleZ R01J010024135-02430355,15.100598499999997,-2.717681,G
LCRS B012357.8-390419,21.55,-38.81247222222222,G
COSMOS2015 1025794,149.82704166666667,2.8621111111111115,G
LEDA  116970,190.60999999999999,-11.925194444444443,G
SDSS J232030.01-023453.7,350.125072,-2.581605,G
SDSSCGB 74519.1,260.36799583333334,25.745500000000003,G
WiggleZ R01J005904891+05022541,14.7704156,5.040363000000001,G
COSMOS2015 1034931,149.808875,2.874694444444444,G
2dFGRS TGS222Z215,27.851666666666667,-27.232499999999998,G
WISE J044858.83-245911.8,72.24511880944749,-24.98667282651584,G
WiggleZ R01J005752369+01574140,14.468242000000002,1.9614709999999997,G
LEDA 2377356,139.88945891070375,50.59549124851945,G
LCRS B012925.3-391741,22.908791666666666,-39.03777777777778,G
WISE J183843.15+501408.4,279.6797671625208,50.23565290924501,G
FRL  862,289.36356882931,-52.45870138383,G
COSMOS2015 1033944,149.868125,2.872527777777778,G
[RTG2015] 3587,53.15257,-27.798222,G
COSMOS2015 1016444,149.88966666666667,2.849,G
LEDA  359843,80.70041666666665,-60.867222222222225,G
WiggleZ R01J005901762-01285385,14.757379,-1.481652,G
SDSS J152350.09+445334.3,230.9587035291579,44.892867606140555,G
WiggleZ S15J150155853+02091420,225.4827214,2.1539429999999995,G
COSMOS2015 253704,149.57395833333334,1.6681944444444443,G
2MASX J19302518+4937174,292.6049080418579,49.62142801510861,G
COSMOS2015 1035292,149.88224999999997,2.875638888888889,G
WiggleZ R01J005906587+00514495,14.777483399999998,0.862457,G
WISE J190231.73+611239.1,285.6322498579492,61.21085769031778,G
COSMOS2015 255718,150.03829166666668,1.6721666666666664,G
SDSS J155125.42+464011.6,237.85593661624833,46.66990279233001,G
LEDA  102320,34.118125,-38.17294444444444,G
[RGD2013] J102216.902+500318.180,155.5704482392,50.055033093119995,G
